item,m_sg,m_pl,f_sg,f_pl
0,partidario,partidarios,partidaria,
1,búlgaro,búlgaros,búlgara,búlgaras
2,abierto,abiertos,abierta,abiertas
3,democrático,democráticos,democrática,democráticas
4,ex,ex,,
5,primer,primeros,primera,primeras
6,descontento,descontentos,,
7,cardíaco,cardíacos,cardíaca,cardíacas
8,chino,chinos,china,chinas
9,celebrado,celebrados,celebrada,celebradas
10,nuevo,nuevos,nueva,nuevas
11,peruano,peruanos,peruana,
12,expresado,expresados,expresada,expresadas
13,segundo,segundos,segunda,segundas
14,interno,internos,interna,internas
15,elegido,elegidos,elegida,
16,único,únicos,única,únicas
17,dispuesto,dispuestos,dispuesta,dispuestas
18,claro,claros,clara,claras
19,pacífico,pacíficos,pacífica,pacíficas
20,no-alineados,no-alineados,,
21,largo,largos,larga,largas
22,político,políticos,política,políticas
23,económico,económicos,económica,económicas
24,científico,científicos,científica,científicas
25,excesivo,excesivos,excesiva,excesivas
26,buen,buenos,buena,buenas
27,cercano,cercanos,cercana,cercanas
28,urbano,urbanos,urbana,urbanas
29,nefasto,nefastos,nefasta,nefastas
30,español,españoles,española,españolas
31,roto,rotos,rota,rotas
32,viejo,viejos,vieja,viejas
33,alto,altos,alta,altas
34,hecho,hechos,hecha,hechas
35,asqueroso,asquerosos,asquerosa,asquerosas
36,coquetón,,,coquetonas
37,apetitoso,apetitosos,,
38,intacto,intactos,intacta,intactas
39,puro,puros,pura,
40,duro,duros,dura,duras
41,regalado,regalados,regalada,regaladas
42,eterno,eternos,eterna,eternas
43,organizado,organizados,organizada,organizadas
44,fino,finos,fina,finas
45,próspero,prósperos,próspera,prósperas
46,desarrollado,desarrollados,desarrollada,desarrolladas
47,humano,humanos,humana,humanas
48,atlético,atléticos,atlética,
49,blando,blandos,blanda,blandas
50,confiado,confiados,,
51,enemigo,enemigos,enemiga,enemigas
52,derecho,derechos,derecha,derechas
53,táctico,tácticos,táctica,tácticas
54,parecido,parecidos,parecida,parecidas
55,embrollado,embrollados,embrollada,embrolladas
56,analítico,analíticos,analítica,analíticas
57,justo,justos,justa,justas
58,inesperado,inesperados,inesperada,inesperadas
59,atemorizador,,,
60,agresivo,agresivos,agresiva,agresivas
61,pasivo,pasivos,pasiva,pasivas
62,solo,solos,sola,solas
63,prestigioso,prestigiosos,prestigiosa,prestigiosas
64,galo,galos,gala,
65,advenedizo,advenedizos,,
66,justificado,justificados,justificada,justificadas
67,atípico,,,atípicas
68,gallego,gallegos,gallega,gallegas
69,medio,medios,media,medias
70,aplaudido,aplaudidos,aplaudida,aplaudidas
71,raro,raros,rara,raras
72,conocido,conocidos,conocida,conocidas
73,federativo,federativos,federativa,
74,tercer,terceros,tercera,terceras
75,autóctono,autóctonos,autóctona,autóctonas
76,europeo,europeos,europea,europeas
77,periodístico,periodísticos,periodística,periodísticas
78,servido,servidos,servida,
79,provinciano,provincianos,,
80,disfrazado,disfrazados,disfrazada,
81,directivo,directivos,directiva,
82,descoyuntado,descoyuntados,descoyuntada,descoyuntadas
83,enamorado,enamorados,enamorada,enamoradas
84,vaporoso,,,
85,obsequioso,,,
86,conflictivo,conflictivos,conflictiva,conflictivas
87,blanco,blancos,blanca,blancas
88,deportivo,deportivos,deportiva,deportivas
89,moderno,modernos,moderna,modernas
90,sorprendido,sorprendidos,sorprendida,sorprendidas
91,defraudado,defraudados,,
92,cuestionado,cuestionados,cuestionada,cuestionadas
93,valiosísimo,valiosísimos,valiosísima,valiosísimas
94,supremo,supremos,suprema,supremas
95,evolutivo,evolutivos,evolutiva,evolutivas
96,protector,protectores,protectora,protectoras
97,sencillo,sencillos,sencilla,sencillas
98,expuesto,expuestos,expuesta,expuestas
99,quitinoso,quitinosos,quitinosa,quitinosas
100,calcáreo,calcáreos,,
101,variado,variados,variada,variadas
102,conformado,conformados,conformada,conformadas
103,mínimo,mínimos,mínima,mínimas
104,sesudo,sesudos,,
105,modificado,modificados,modificada,modificadas
106,deshilachado,deshilachados,,
107,desplegado,desplegados,desplegada,desplegadas
108,avezado,avezados,,
109,vírico,,,
110,repetido,repetidos,repetida,repetidas
111,directo,directos,directa,directas
112,segregado,segregados,segregada,segregadas
113,primitivo,primitivos,primitiva,primitivas
114,vivo,vivos,viva,vivas
115,determinado,determinados,determinada,determinadas
116,sucesivo,sucesivos,sucesiva,sucesivas
117,pequeño,pequeños,pequeña,pequeñas
118,arrollador,arrolladores,arrolladora,arrolladoras
119,llamado,llamados,llamada,llamadas
120,movido,movidos,movida,movidas
121,continuado,continuados,continuada,
122,patentado,patentados,patentada,patentadas
123,mecánico,mecánicos,mecánica,mecánicas
124,diseñado,diseñados,diseñada,diseñadas
125,orgánico,orgánicos,orgánica,orgánicas
126,verdadero,verdaderos,verdadera,verdaderas
127,técnico,técnicos,técnica,técnicas
128,genético,genéticos,genética,genéticas
129,nucléico,nucléicos,,
130,implícito,implícitos,implícita,
131,corrector,correctores,correctora,correctoras
132,ecológico,ecológicos,ecológica,ecológicas
133,vagabundo,vagabundos,,
134,autónomo,autónomos,autónoma,autónomas
135,curioso,curiosos,curiosa,
136,inmunológico,,,
137,gigantesco,gigantescos,gigantesca,gigantescas
138,adecuado,adecuados,adecuada,adecuadas
139,almacenado,almacenados,almacenada,almacenadas
140,necesario,necesarios,necesaria,necesarias
141,grabado,grabados,grabada,grabadas
142,desconocido,desconocidos,desconocida,desconocidas
143,ilimitado,ilimitados,ilimitada,ilimitadas
144,escrito,escritos,escrita,escritas
145,herido,heridos,herida,heridas
146,satisfactorio,satisfactorios,satisfactoria,
147,debido,debidos,debida,debidas
148,máximo,máximos,máxima,máximas
149,correcto,correctos,correcta,correctas
150,cruento,cruentos,cruenta,
151,reglamentario,reglamentarios,reglamentaria,reglamentarias
152,físico,físicos,física,físicas
153,rayado,rayados,,
154,comentado,comentados,comentada,
155,conductor,conductores,conductora,conductoras
156,producido,producidos,producida,producidas
157,inorgánico,,,inorgánicas
158,superconductor,superconductores,superconductora,superconductoras
159,aromático,aromáticos,aromática,aromáticas
160,fusionado,fusionados,fusionada,fusionadas
161,electroquímico,electroquímicos,electroquímica,electroquímicas
162,coulómbico,coulómbicos,coulómbica,coulómbicas
163,propio,propios,propia,propias
164,aceptor,aceptores,aceptora,aceptoras
165,extendido,extendidos,extendida,extendidas
166,heterocíclico,heterocíclicos,,
167,electronegativo,,,
168,bajo,bajos,baja,bajas
169,químico,químicos,química,químicas
170,distinto,distintos,distinta,distintas
171,sustituido,sustituidos,sustituida,
172,polimérico,poliméricos,polimérica,poliméricas
173,metálico,metálicos,metálica,metálicas
174,conjugado,,,conjugadas
175,dopado,dopados,dopada,
176,térmico,térmicos,térmica,térmicas
177,apropiado,apropiados,apropiada,
178,benigno,benignos,,
179,doméstico,domésticos,doméstica,domésticas
180,empírico,empíricos,empírica,empíricas
181,mero,meros,mera,meras
182,lógico,lógicos,lógica,
183,dado,dados,dada,dadas
184,decisivo,decisivos,decisiva,decisivas
185,corpóreo,corpóreos,corpórea,corpóreas
186,divino,divinos,divina,
187,nulo,nulos,nula,nulas
188,colectivo,colectivos,colectiva,colectivas
189,riguroso,rigurosos,rigurosa,
190,digno,dignos,digna,
191,orgulloso,orgullosos,orgullosa,
192,concentrado,concentrados,concentrada,
193,lesionado,lesionados,,
194,sancionado,sancionados,,
195,decrépito,,,
196,retardado,retardados,,
197,peligroso,peligrosos,peligrosa,peligrosas
198,activo,activos,activa,activas
199,instalado,instalados,instalada,instaladas
200,reñido,reñidos,reñida,
201,andaluz,andaluces,andaluza,andaluzas
202,divorciado,divorciados,divorciada,divorciadas
203,autonómico,autonómicos,autonómica,autonómicas
204,financiero,financieros,financiera,financieras
205,revolucionario,revolucionarios,revolucionaria,revolucionarias
206,francés,franceses,francesa,francesas
207,intervenido,intervenidos,intervenida,intervenidas
208,amplio,amplios,amplia,amplias
209,especializado,especializados,especializada,especializadas
210,fatídico,,,fatídicas
211,atento,atentos,atenta,
212,obcecado,obcecados,obcecada,obcecadas
213,seguro,seguros,segura,seguras
214,satisfecho,satisfechos,satisfecha,
215,hegemónico,hegemónicos,hegemónica,
216,revuelto,revueltos,,
217,negro,negros,negra,negras
218,lento,lentos,lenta,lentas
219,sabio,sabios,sabia,
220,adaptado,adaptados,adaptada,
221,clavado,clavados,clavada,clavadas
222,prohibido,prohibidos,prohibida,prohibidas
223,plateado,plateados,plateada,plateadas
224,inmenso,inmensos,inmensa,inmensas
225,ciego,ciegos,ciega,
226,irritado,irritados,irritada,irritadas
227,cerrado,cerrados,cerrada,cerradas
228,baboso,babosos,babosa,babosas
229,burlón,,,burlonas
230,fingido,fingidos,fingida,fingidas
231,debilitado,debilitados,debilitada,debilitadas
232,convertido,convertidos,convertida,convertidas
233,furioso,furiosos,furiosa,
234,perdido,perdidos,perdida,perdidas
235,romano,romanos,romana,romanas
236,lírico,líricos,lírica,líricas
237,sonoro,sonoros,sonora,sonoras
238,nacido,nacidos,nacida,nacidas
