item,lemma,tense,person,verbNum,verb
0,entrar,Past,3,sg,entró
0,entrar,Past,3,pl,entraron
0,entrar,Imperfect,3,sg,entraba
0,entrar,Imperfect,3,pl,entraban
0,entrar,Pres,3,sg,entra
0,entrar,Pres,3,pl,entran
0,entrar,Fut,3,sg,entrará
0,entrar,Fut,3,pl,entrarán
1,acusar,Past,3,sg,acusó
1,acusar,Past,3,pl,acusaron
1,acusar,Imperfect,3,sg,acusaba
1,acusar,Imperfect,3,pl,acusaban
1,acusar,Pres,3,sg,acusa
1,acusar,Pres,3,pl,acusan
1,acusar,Fut,3,sg,acusará
1,acusar,Fut,3,pl,acusarán
2,utilizar,Past,3,sg,utilizó
2,utilizar,Past,3,pl,utilizaron
2,utilizar,Imperfect,3,sg,utilizaba
2,utilizar,Imperfect,3,pl,utilizaban
2,utilizar,Pres,3,sg,utiliza
2,utilizar,Pres,3,pl,utilizan
2,utilizar,Fut,3,sg,utilizará
2,utilizar,Fut,3,pl,utilizarán
3,organizar,Past,3,sg,organizó
3,organizar,Past,3,pl,organizaron
3,organizar,Imperfect,3,sg,organizaba
3,organizar,Imperfect,3,pl,organizaban
3,organizar,Pres,3,sg,organiza
3,organizar,Pres,3,pl,organizan
3,organizar,Fut,3,sg,organizará
3,organizar,Fut,3,pl,organizarán
4,provocar,Past,3,sg,provocó
4,provocar,Past,3,pl,provocaron
4,provocar,Imperfect,3,sg,provocaba
4,provocar,Imperfect,3,pl,provocaban
4,provocar,Pres,3,sg,provoca
4,provocar,Pres,3,pl,provocan
4,provocar,Fut,3,sg,provocará
4,provocar,Fut,3,pl,provocarán
5,elegir,Past,3,sg,eligió
5,elegir,Past,3,pl,eligieron
5,elegir,Imperfect,3,sg,elegía
5,elegir,Imperfect,3,pl,elegían
5,elegir,Pres,3,sg,elige
5,elegir,Pres,3,pl,eligen
5,elegir,Fut,3,sg,elegirá
5,elegir,Fut,3,pl,elegirán
6,amenazar,Past,3,sg,amenazó
6,amenazar,Past,3,pl,amenazaron
6,amenazar,Imperfect,3,sg,amenazaba
6,amenazar,Imperfect,3,pl,amenazaban
6,amenazar,Pres,3,sg,amenaza
6,amenazar,Pres,3,pl,amenazan
6,amenazar,Fut,3,sg,amenazará
6,amenazar,Fut,3,pl,amenazarán
7,sacar,Past,3,sg,sacó
7,sacar,Past,3,pl,sacaron
7,sacar,Imperfect,3,sg,sacaba
7,sacar,Imperfect,3,pl,sacaban
7,sacar,Pres,3,sg,saca
7,sacar,Pres,3,pl,sacan
7,sacar,Fut,3,sg,sacará
7,sacar,Fut,3,pl,sacarán
8,sufrir,Past,3,sg,sufrió
8,sufrir,Past,3,pl,sufrieron
8,sufrir,Imperfect,3,sg,sufría
8,sufrir,Imperfect,3,pl,sufrían
8,sufrir,Pres,3,sg,sufre
8,sufrir,Pres,3,pl,sufren
8,sufrir,Fut,3,sg,sufrirá
8,sufrir,Fut,3,pl,sufrirán
9,dimitir,Past,3,sg,dimitió
9,dimitir,Past,3,pl,dimitieron
9,dimitir,Imperfect,3,sg,dimitía
9,dimitir,Imperfect,3,pl,dimitían
9,dimitir,Pres,3,sg,dimite
9,dimitir,Pres,3,pl,dimiten
9,dimitir,Fut,3,sg,dimitirá
9,dimitir,Fut,3,pl,dimitirán
10,sustituir,Past,3,sg,sustituyó
10,sustituir,Past,3,pl,sustituyeron
10,sustituir,Imperfect,3,sg,sustituía
10,sustituir,Imperfect,3,pl,sustituían
10,sustituir,Pres,3,sg,sustituye
10,sustituir,Pres,3,pl,sustituyen
10,sustituir,Fut,3,sg,sustituirá
10,sustituir,Fut,3,pl,sustituirán
11,defender,Past,3,sg,defendió
11,defender,Past,3,pl,defendieron
11,defender,Imperfect,3,sg,defendía
11,defender,Imperfect,3,pl,defendían
11,defender,Pres,3,sg,defiende
11,defender,Pres,3,pl,defienden
11,defender,Fut,3,sg,defenderá
11,defender,Fut,3,pl,defenderán
12,ofrecer,Past,3,sg,ofreció
12,ofrecer,Past,3,pl,ofrecieron
12,ofrecer,Imperfect,3,sg,ofrecía
12,ofrecer,Imperfect,3,pl,ofrecían
12,ofrecer,Pres,3,sg,ofrece
12,ofrecer,Pres,3,pl,ofrecen
12,ofrecer,Fut,3,sg,ofrecerá
12,ofrecer,Fut,3,pl,ofrecerán
13,respetar,Past,3,sg,respetó
13,respetar,Past,3,pl,respetaron
13,respetar,Imperfect,3,sg,respetaba
13,respetar,Imperfect,3,pl,respetaban
13,respetar,Pres,3,sg,respeta
13,respetar,Pres,3,pl,respetan
13,respetar,Fut,3,sg,respetará
13,respetar,Fut,3,pl,respetarán
14,declarar,Past,3,sg,declaró
14,declarar,Past,3,pl,declararon
14,declarar,Imperfect,3,sg,declaraba
14,declarar,Imperfect,3,pl,declaraban
14,declarar,Pres,3,sg,declara
14,declarar,Pres,3,pl,declaran
14,declarar,Fut,3,sg,declarará
14,declarar,Fut,3,pl,declararán
15,agregar,Past,3,sg,agregó
15,agregar,Past,3,pl,agregaron
15,agregar,Imperfect,3,sg,agregaba
15,agregar,Imperfect,3,pl,agregaban
15,agregar,Pres,3,sg,agrega
15,agregar,Pres,3,pl,agregan
15,agregar,Fut,3,sg,agregará
15,agregar,Fut,3,pl,agregarán
16,rechazar,Past,3,sg,rechazó
16,rechazar,Past,3,pl,rechazaron
16,rechazar,Imperfect,3,sg,rechazaba
16,rechazar,Imperfect,3,pl,rechazaban
16,rechazar,Pres,3,sg,rechaza
16,rechazar,Pres,3,pl,rechazan
16,rechazar,Fut,3,sg,rechazará
16,rechazar,Fut,3,pl,rechazarán
17,alterar,Past,3,sg,alteró
17,alterar,Past,3,pl,alteraron
17,alterar,Imperfect,3,sg,alteraba
17,alterar,Imperfect,3,pl,alteraban
17,alterar,Pres,3,sg,altera
17,alterar,Pres,3,pl,alteran
17,alterar,Fut,3,sg,alterará
17,alterar,Fut,3,pl,alterarán
18,mencionar,Past,3,sg,mencionó
18,mencionar,Past,3,pl,mencionaron
18,mencionar,Imperfect,3,sg,mencionaba
18,mencionar,Imperfect,3,pl,mencionaban
18,mencionar,Pres,3,sg,menciona
18,mencionar,Pres,3,pl,mencionan
18,mencionar,Fut,3,sg,mencionará
18,mencionar,Fut,3,pl,mencionarán
19,criticar,Past,3,sg,criticó
19,criticar,Past,3,pl,criticaron
19,criticar,Imperfect,3,sg,criticaba
